id,prod,age,Sum Assured,Term,Term_if,Premium,sex
144,1,44,760000,0,24,927.44,1
145,1,47,1080000,0,48,1386.75,1
146,1,45,1010000,0,72,1534.41,0
147,1,42,570000,0,84,716.33,0
148,1,39,1070000,0,36,1408.72,0
149,1,43,1040000,0,108,1248.48,0
150,1,44,1080000,0,72,1076.49,1
151,1,39,860000,0,96,610.88,1
152,1,39,960000,0,48,824.79,1
153,1,41,970000,0,72,1219.02,0
154,1,50,1070000,0,96,1881.77,0
155,1,49,1080000,0,60,2095.87,0
156,1,41,1470000,0,120,1545.56,0
157,1,56,1280000,0,72,3348.05,0
158,1,36,1210000,0,0,1091.82,1
159,1,36,880000,0,96,546.08,1
160,1,39,1040000,0,120,674.56,1
161,1,44,900000,0,120,736.65,1
162,1,36,920000,0,84,596.73,1
163,1,34,1340000,0,0,1096.78,1
164,1,41,1150000,0,48,1090.38,1
165,1,33,1030000,0,72,920.13,0
166,1,47,1090000,0,0,2456.1,0
167,1,46,1060000,0,12,2161.55,0
168,1,52,1040000,0,0,2996.82,0
169,1,40,1150000,0,60,1445.23,0
170,1,37,1090000,0,36,1308.5,0
171,1,39,540000,0,48,463.94,1
172,1,46,1060000,0,24,2057.05,0
173,1,44,850000,0,96,766.98,1
174,1,44,970000,0,96,1277.07,0
175,1,39,1140000,0,48,979.44,1
176,1,39,1110000,0,108,1118.66,0
177,1,31,1390000,0,48,1241.74,0
178,1,43,1250000,0,60,1809.52,0
179,1,50,1360000,0,24,2256.52,1
180,1,38,1230000,0,48,1006.75,1
181,1,40,1060000,0,72,1272.49,0
182,1,51,820000,0,60,1227.54,1
183,1,54,1060000,0,108,1507.43,1
184,1,51,930000,0,108,1134.89,1
185,1,40,1050000,0,96,781.37,1
186,1,41,1020000,0,84,1224.47,0
187,1,37,880000,0,120,786.13,0
188,1,49,1220000,0,84,2145.57,0
189,1,38,1340000,0,24,1209.13,1
190,1,35,1430000,0,72,927.52,1
191,1,42,1020000,0,12,1183.08,1
192,1,37,1280000,0,120,760.55,1
193,1,52,1030000,0,72,2207.73,0
194,1,47,1010000,0,72,1171.49,1
195,1,38,940000,0,12,1297.3,0
196,1,30,1160000,0,96,559.28,1
197,1,37,1170000,0,84,1179.13,0
198,1,37,930000,0,0,1283.5,0
199,1,41,900000,0,0,1043.9,1
200,1,43,770000,0,108,924.35,0
201,1,43,960000,0,96,1206.45,0
202,1,32,1150000,0,108,577.97,1
203,1,47,960000,0,120,910.23,1
204,1,43,920000,0,48,1397.68,0
205,1,38,1000000,0,24,902.33,1
206,1,43,1280000,0,96,1608.61,0
207,1,44,990000,0,24,1741.08,0
208,1,29,1210000,0,36,688.98,1
209,1,44,1210000,0,108,1520.64,0
210,1,56,790000,0,12,2625.62,0
211,1,26,1370000,0,120,785.11,0
212,1,36,1290000,0,84,1247.47,0
213,1,45,850000,0,72,1291.33,0
214,1,47,940000,0,24,1336.78,1
215,1,40,1010000,0,60,867.75,1
216,1,41,1230000,0,108,915.32,1
217,1,44,1090000,0,72,1086.46,1
218,1,43,1250000,0,84,1645.7,0
219,1,42,840000,0,84,1055.65,0
220,1,32,1220000,0,120,904.68,0
221,1,36,1380000,0,24,1129.52,1
222,1,38,1050000,0,48,1260.48,0
223,1,35,750000,0,120,409.53,1
224,1,49,880000,0,96,1020.7,1
225,1,44,1030000,0,24,1256.92,1
226,1,45,1090000,0,84,1086.46,1
227,1,38,960000,0,36,1206.45,0
228,1,39,1080000,0,120,700.51,1
229,1,44,590000,0,72,588.08,1
230,1,45,760000,0,120,955.11,0
231,1,45,1260000,0,84,1255.91,1
232,1,43,1080000,0,0,1386.75,1
233,1,47,1060000,0,72,1775.12,0
234,1,45,1060000,0,36,1864.19,0
235,1,38,1270000,0,60,990.85,1
236,1,47,1040000,0,84,1658.71,0
237,1,36,1420000,0,120,808.55,1
238,1,47,1070000,0,84,1179.78,1
239,1,34,980000,0,96,558.01,1
240,1,46,1070000,0,24,1445.77,1
241,1,45,860000,0,48,997.5,1
242,1,43,950000,0,36,1047.47,1
243,1,34,660000,0,48,665.15,0
244,1,53,1360000,0,120,1746.28,1
245,1,33,930000,0,60,577.11,1
246,1,47,1300000,0,108,1295.78,1
247,1,40,620000,0,24,617.99,1
248,1,44,1250000,0,96,1645.7,0
249,1,37,1620000,0,84,1632.64,0
250,1,39,1390000,0,48,1746.85,0
251,1,41,920000,0,0,1067.1,1
252,1,43,980000,0,72,929.19,1
253,1,51,770000,0,120,1289.47,0
254,1,42,990000,0,60,938.67,1
255,1,39,880000,0,12,1273.9,0
256,1,42,1030000,0,24,1642.76,0
257,1,41,1290000,0,108,1416.3,0
258,1,42,1300000,0,0,1586.41,1
259,1,43,820000,0,60,1187.04,0
260,1,47,1100000,0,84,1754.4,0
261,1,41,1080000,0,0,1808.61,0
262,1,42,1010000,0,36,1534.41,0
263,1,43,1250000,0,72,1725.13,0
264,1,43,1430000,0,12,2514.89,0
265,1,52,1260000,0,12,2436.77,1
266,1,39,1410000,0,24,1945.94,0
267,1,41,1130000,0,72,970.84,1
268,1,43,1040000,0,36,1658.71,0
269,1,31,1190000,0,72,985.99,0
270,1,45,1020000,0,84,1016.69,1
271,1,33,940000,0,108,750.69,0
272,1,37,1460000,0,120,1304.27,0
273,1,46,1060000,0,12,1507.43,1
274,1,45,1220000,0,48,2043.06,0
275,1,46,930000,0,60,1557.41,0
276,1,40,840000,0,48,757.96,1
277,1,52,770000,0,72,1650.44,0
278,1,38,840000,0,60,655.36,1
279,1,43,960000,0,24,1113.49,1
280,1,42,1030000,0,60,1421.51,0
281,1,46,980000,0,72,1563.01,0
282,1,34,920000,0,12,1055.75,0
283,1,44,1100000,0,96,1448.22,0
284,1,50,1060000,0,60,2161.55,0
285,1,42,1030000,0,24,1135.68,1
286,1,41,1230000,0,24,1868.64,0
287,1,50,1240000,0,36,1954.25,1
288,1,40,1370000,0,12,1436.06,1
289,1,35,1490000,0,108,1281.43,0
290,1,31,1300000,0,120,600.97,1
291,1,43,560000,0,84,737.27,0
292,1,50,1060000,0,108,1229.48,1
293,1,39,800000,0,36,721.87,1
294,1,42,1100000,0,36,1153.04,1
295,1,37,1350000,0,120,1206,0
296,1,30,1180000,0,0,1189.21,0
297,1,54,1060000,0,60,1851.4,1
298,1,42,980000,0,84,1231.59,0
299,1,37,940000,0,120,558.53,1
300,1,40,580000,0,120,393.53,1
301,1,43,890000,0,84,803.08,1
302,1,42,1130000,0,108,1296.73,0
303,1,44,1100000,0,24,1934.53,0
304,1,41,890000,0,120,632.19,1
305,1,46,1050000,0,72,1674.66,0
306,1,50,1130000,0,108,1310.67,1
307,1,49,670000,0,108,738.74,1
308,1,34,1430000,0,96,1229.83,0
309,1,45,1170000,0,120,1005.21,1
310,1,50,930000,0,0,2432.57,0
311,1,49,1010000,0,96,1691.38,0
312,1,50,910000,0,12,1589.41,1
313,1,45,1020000,0,84,1016.69,1
314,1,36,1100000,0,84,713.48,1
315,1,38,1090000,0,36,936.48,1
316,1,46,1020000,0,84,1549.6,0
317,1,44,950000,0,60,995.81,1
318,1,36,1240000,0,24,1488.57,0
319,1,41,950000,0,36,1375.23,0
320,1,48,1350000,0,24,2893.62,0
321,1,38,1000000,0,48,818.49,1
322,1,35,960000,0,12,785.75,1
323,1,45,860000,0,48,997.5,1
324,1,44,580000,0,108,498.31,1
325,1,56,1220000,0,24,2744.24,1
326,1,37,1090000,0,120,647.66,1
327,1,36,1170000,0,24,957.64,1
328,1,46,860000,0,36,1588.62,0
329,1,36,1230000,0,72,834.55,1
330,1,36,1210000,0,0,1091.82,1
331,1,36,980000,0,84,947.69,0
332,1,42,1360000,0,0,1659.63,1
333,1,42,910000,0,84,1143.62,0
334,1,47,890000,0,96,932.92,1
335,1,44,900000,0,96,812.1,1
336,1,40,1130000,0,96,840.91,1
337,1,49,950000,0,48,1351,1
338,1,46,1450000,0,60,1681.84,1
339,1,45,1250000,0,120,1570.9,0
340,1,30,950000,0,24,882.45,0
341,1,49,750000,0,0,1867.33,0
342,1,47,1340000,0,0,3019.42,0
343,1,40,1310000,0,48,1724.7,0
344,1,44,1030000,0,48,1642.76,0
345,1,51,840000,0,108,1477.28,0
346,1,39,1300000,0,60,1064.04,1
347,1,47,990000,0,12,1482.04,1
348,1,42,760000,0,36,1154.6,0
349,1,33,990000,0,0,1136.07,0
350,1,44,1210000,0,96,1091.82,1
351,1,41,1000000,0,96,780.2,1
352,1,42,590000,0,36,896.34,0
353,1,44,860000,0,84,1186.89,0
354,1,47,890000,0,72,1032.3,1
355,1,50,940000,0,48,2014.82,0
356,1,36,1320000,0,96,819.12,1
357,1,49,1160000,0,12,2747.86,0
358,1,42,1080000,0,24,1722.5,0
359,1,43,1140000,0,12,1391.16,1
360,1,44,1360000,0,84,1876.94,0
361,1,48,1480000,0,0,2455.62,1
362,1,51,1110000,0,48,2501.16,0
363,1,51,1020000,0,84,1378.21,1
364,1,56,1260000,0,120,1886.23,1
365,1,31,780000,0,24,754.29,0
366,1,40,1480000,0,84,1698.37,0
367,1,36,950000,0,72,644.57,1
368,1,37,1190000,0,60,1306.51,0
369,1,45,980000,0,72,1027.26,1
370,1,38,910000,0,120,845.3,0
371,1,45,1240000,0,36,1513.19,1
372,1,49,1070000,0,108,1179.78,1
373,1,43,990000,0,12,1208.11,1
374,1,52,1150000,0,72,1721.56,1
375,1,36,1250000,0,24,1023.12,1
376,1,33,850000,0,24,603.78,1
377,1,34,990000,0,60,957.36,0
378,1,46,850000,0,24,1649.52,0
379,1,40,1240000,0,60,1065.35,1
380,1,45,1430000,0,0,2033.61,1
381,1,41,960000,0,96,748.99,1
382,1,37,1220000,0,84,827.76,1
383,1,41,1330000,0,12,2121.23,0
384,1,35,1030000,0,60,698.85,1
385,1,45,1270000,0,0,1806.08,1
386,1,43,740000,0,48,775.68,1
387,1,49,1050000,0,60,2037.65,0
388,1,38,1630000,0,24,2146,0
389,1,39,960000,0,72,748.99,1
390,1,34,830000,0,24,617.66,1
391,1,54,1200000,0,120,2328.74,0
392,1,36,1030000,0,24,1236.47,0
393,1,39,1160000,0,0,1215.94,1
394,1,39,1080000,0,24,1024.01,1
395,1,49,1100000,0,12,1825.12,1
396,1,41,930000,0,12,1025.42,1
397,1,47,980000,0,24,1393.66,1
398,1,33,1220000,0,36,827.76,1
399,1,45,840000,0,36,1025.06,1
400,1,35,960000,0,0,1206.45,0
401,1,49,1280000,0,24,2884.23,0
402,1,39,1020000,0,48,1281.86,0
403,1,36,1220000,0,108,1089.87,0
404,1,42,1350000,0,12,1565.85,1
405,1,32,1150000,0,24,1158.98,0
406,1,42,1020000,0,48,1476.57,0
407,1,37,850000,0,24,730.28,1
408,1,34,1370000,0,120,717.64,1
409,1,32,1240000,0,12,1303.73,0
410,1,49,1280000,0,12,3032.12,0
411,1,43,1510000,0,36,1664.93,1
412,1,52,1050000,0,36,1833.93,1
413,1,40,1430000,0,12,2172.48,0
414,1,35,920000,0,84,570.9,1
415,1,37,990000,0,12,1303.4,0
416,1,43,1320000,0,84,1737.86,0
417,1,49,620000,0,48,1264.3,0
418,1,42,1020000,0,12,1183.08,1
419,1,44,840000,0,72,837.27,1
420,1,33,1180000,0,60,732.24,1
421,1,42,1180000,0,24,1301.07,1
422,1,56,1330000,0,36,4019.44,0
423,1,35,970000,0,60,658.14,1
424,1,43,980000,0,60,1418.66,0
425,1,56,1200000,0,84,2987.72,0
426,1,47,950000,0,72,1101.89,1
427,1,39,1610000,0,36,1452.76,1
428,1,37,920000,0,0,1269.69,0
429,1,37,720000,0,12,947.92,0
430,1,38,1350000,0,0,1954.28,0
431,1,41,830000,0,108,911.26,0
432,1,47,660000,0,120,625.78,1
433,1,47,690000,0,84,760.79,1
434,1,46,870000,0,12,1237.23,1
435,1,52,1410000,0,72,3022.23,0
436,1,42,920000,0,60,1269.69,0
437,1,42,920000,0,84,790.42,1
438,1,47,880000,0,0,1386.89,1
439,1,38,1040000,0,72,1141.82,0
440,1,45,770000,0,96,1062.68,0
441,1,37,890000,0,12,1171.74,0
442,1,44,970000,0,24,1183.71,1
443,1,39,1390000,0,84,1034.39,1
444,1,38,1330000,0,84,944.73,1
445,1,42,1000000,0,12,1159.89,1
446,1,43,1220000,0,120,951.84,1
447,1,32,1020000,0,48,632.95,1
448,1,39,780000,0,96,820.09,0
449,1,40,1140000,0,108,809.77,1
450,1,39,970000,0,36,1277.07,0
451,1,42,970000,0,48,966.85,1
452,1,38,1290000,0,12,1780.33,0
453,1,59,1220000,0,84,2481.57,1
454,1,49,1190000,0,96,1992.82,0
455,1,43,1090000,0,108,1308.5,0
456,1,48,1260000,0,24,2700.71,0
457,1,39,1020000,0,96,724.53,1
458,1,43,1030000,0,36,1642.76,0
459,1,42,1220000,0,84,1533.2,0
460,1,43,1090000,0,48,1142.56,1
461,1,35,1380000,0,36,1026.95,1
462,1,46,810000,0,0,1736.17,0
463,1,39,1140000,0,84,848.35,1
464,1,47,1230000,0,36,1661.96,1
465,1,45,1030000,0,120,1294.43,0
466,1,39,1050000,0,36,947.45,1
467,1,47,1350000,0,36,1824.1,1
468,1,42,820000,0,12,1373.2,0
469,1,40,1370000,0,120,929.54,1
470,1,45,1220000,0,12,2367.55,0
471,1,32,1020000,0,60,911.2,0
472,1,35,1320000,0,96,1179.2,0
473,1,38,1190000,0,36,1022.39,1
474,1,37,1220000,0,36,1464.56,0
475,1,40,1190000,0,108,1251.16,0
476,1,31,1590000,0,120,1134.76,0
477,1,42,810000,0,96,662.98,1
478,1,40,820000,0,84,639.76,1
479,1,39,1250000,0,72,975.24,1
480,1,46,1260000,0,36,2327.52,0
481,1,34,1430000,0,60,1382.86,0
482,1,44,730000,0,48,804.9,1
483,1,38,1030000,0,108,668.08,1
484,1,42,1340000,0,12,2244.02,0
485,1,44,1560000,0,72,2258.28,0
486,1,45,960000,0,96,1324.9,0
487,1,55,410000,0,120,583.06,1
488,1,46,1330000,0,12,1891.4,1
489,1,35,1050000,0,12,1260.48,0
490,1,39,1240000,0,12,1235.97,1
491,1,36,850000,0,12,730.28,1
492,1,49,920000,0,0,2290.59,0
493,1,40,880000,0,72,1056.4,0
494,1,48,850000,0,96,1355.67,0
495,1,34,920000,0,36,653.5,1
496,1,54,1010000,0,96,2164.86,0
497,1,47,1010000,0,108,1462.09,0
498,1,44,1010000,0,108,1269.29,0
499,1,41,1480000,0,12,2360.47,0
500,1,38,960000,0,36,1206.45,0
501,1,27,1490000,0,96,631.31,1
502,1,29,920000,0,120,389.8,1
503,1,48,1210000,0,36,2467.43,0
504,1,49,1210000,0,108,1929.84,0
505,1,43,1150000,0,60,1146.27,1
506,1,44,1240000,0,24,1513.19,1
507,1,46,870000,0,36,1607.09,0
508,1,48,1160000,0,48,1567.38,1
509,1,38,1010000,0,84,717.43,1
510,1,41,1240000,0,0,1438.26,1
511,1,39,1000000,0,96,710.32,1
512,1,38,750000,0,120,696.67,0
513,1,33,1310000,0,60,1216.86,0
514,1,39,920000,0,0,1397.68,0
515,1,26,1080000,0,12,589.72,1
516,1,37,1290000,0,96,1247.47,0
517,1,42,1000000,0,48,996.75,1
518,1,42,940000,0,12,1574.16,0
519,1,43,1320000,0,96,1134.08,1
520,1,36,1010000,0,60,717.43,1
521,1,42,970000,0,0,1705.91,0
522,1,48,1300000,0,24,1946.11,1
523,1,44,650000,0,12,1200.7,0
524,1,43,1280000,0,60,1852.95,0
525,1,48,890000,0,24,1332.33,1
526,1,48,1210000,0,48,1634.94,1
527,1,42,760000,0,96,912.35,0
528,1,48,1070000,0,36,1521.65,1
529,1,51,1120000,0,48,1765.13,1
530,1,42,870000,0,60,1200.69,0
531,1,39,980000,0,0,1027.26,1
532,1,29,840000,0,0,544.84,1
533,1,36,1390000,0,72,943.11,1
534,1,45,900000,0,36,1582.8,0
535,1,43,920000,0,12,1617.97,0
536,1,40,760000,0,96,834.41,0
537,1,48,1310000,0,72,2303.85,0
538,1,35,1130000,0,24,1296.73,0
539,1,47,1140000,0,72,1909.09,0
540,1,41,910000,0,12,1451.37,0
541,1,41,1020000,0,120,724.53,1
542,1,42,1060000,0,48,1534.47,0
543,1,42,1220000,0,108,1400.01,0
544,1,48,910000,0,60,1168.47,1
545,1,35,1480000,0,48,1051.28,1
546,1,37,940000,0,120,558.53,1
547,1,34,920000,0,36,653.5,1
548,1,47,950000,0,12,2036.25,0
549,1,40,960000,0,48,1263.9,0
550,1,38,1090000,0,108,706.99,1
551,1,35,1090000,0,96,973.73,0
552,1,46,710000,0,108,979.87,0
553,1,50,890000,0,108,1490.43,0
554,1,53,980000,0,48,2439.97,0
555,1,39,1310000,0,108,1320.23,0
556,1,45,950000,0,84,946.92,1
557,1,50,910000,0,120,1451.37,0
558,1,39,500000,0,60,409.25,1
559,1,35,760000,0,12,622.06,1
560,1,52,1200000,0,120,1464.38,1
561,1,46,1200000,0,60,2009.57,0
562,1,61,1170000,0,36,3228.58,1
563,1,49,1140000,0,120,1194.97,1
564,1,53,890000,0,12,2564.58,0
565,1,28,1260000,0,24,1083.63,0
566,1,43,900000,0,0,1662.51,0
567,1,37,1190000,0,12,1073.78,1
568,1,52,950000,0,120,1159.3,1
569,1,39,1100000,0,84,818.58,1
570,1,39,1230000,0,36,1619.37,0
571,1,38,870000,0,24,785.03,1
572,1,35,1300000,0,108,1118.03,0
573,1,35,810000,0,60,549.58,1
574,1,41,980000,0,24,1027.26,1
575,1,29,1040000,0,48,861.71,0
576,1,34,990000,0,120,518.58,1
577,1,36,1310000,0,60,930.53,1
578,1,39,780000,0,24,1076.48,0
579,1,41,1090000,0,72,1369.83,0
580,1,38,990000,0,120,919.61,0
581,1,44,1120000,0,60,1174.01,1
582,1,44,1040000,0,24,1269.13,1
583,1,48,1110000,0,48,1499.82,1
584,1,40,1020000,0,60,1281.86,0
585,1,39,1240000,0,108,1249.68,0
586,1,49,870000,0,36,1864.78,0
587,1,38,1070000,0,24,965.5,1
588,1,39,1210000,0,48,1039.58,1
589,1,41,740000,0,72,929.98,0
590,1,41,1160000,0,48,1600.92,0
591,1,27,910000,0,36,726.73,0
592,1,49,1080000,0,36,2314.9,0
593,1,38,1230000,0,24,1619.37,0
594,1,47,1290000,0,60,1574.21,1
595,1,40,900000,0,84,702.18,1
596,1,44,1130000,0,60,1184.49,1
597,1,46,1240000,0,72,1977.69,0
598,1,44,880000,0,120,1056.4,0
599,1,43,1060000,0,36,1168.76,1
600,1,49,970000,0,0,2415.08,0
601,1,46,1070000,0,0,2293.46,0
602,1,36,1150000,0,24,941.27,1
603,1,35,900000,0,120,491.43,1
604,1,42,1150000,0,120,855.79,1
605,1,46,1110000,0,120,1461.38,0
606,1,45,1410000,0,24,2604.6,0
607,1,37,1050000,0,108,651.57,1
608,1,37,990000,0,60,736.72,1
609,1,45,1230000,0,96,1166.23,1
610,1,41,1020000,0,48,967.12,1
611,1,38,1190000,0,84,1251.16,0
612,1,38,1190000,0,120,1105.39,0
613,1,45,1090000,0,36,1330.14,1
614,1,37,1360000,0,36,1113.15,1
615,1,38,1120000,0,120,1040.37,0
616,1,42,980000,0,24,1563.01,0
617,1,39,850000,0,120,551.33,1
618,1,43,940000,0,108,1128.43,0
619,1,39,1120000,0,120,1083.08,0
620,1,37,1340000,0,120,796.2,1
621,1,41,1380000,0,96,1583.62,0
622,1,49,1320000,0,96,2210.52,0
623,1,38,740000,0,36,929.98,0
624,1,50,810000,0,36,1276.57,1
625,1,42,1420000,0,84,1220,1
626,1,36,1400000,0,108,1250.67,0
627,1,46,960000,0,108,1324.9,0
628,1,39,960000,0,48,824.79,1
629,1,49,1300000,0,0,3236.7,0
630,1,41,920000,0,12,1467.32,0
631,1,42,1150000,0,108,1319.68,0
632,1,45,890000,0,96,1228.29,0
633,1,39,970000,0,84,721.84,1
634,1,49,1130000,0,84,1987.29,0
635,1,42,920000,0,0,1617.97,0
636,1,51,1490000,0,24,3709.76,0
637,1,32,890000,0,36,577.27,1
638,1,39,1470000,0,12,1465.23,1
639,1,46,1320000,0,72,1455.43,1
640,1,42,1110000,0,48,1606.85,0
641,1,35,950000,0,60,957.42,0
642,1,44,1020000,0,36,1183.08,1
643,1,36,680000,0,120,584.82,0
644,1,45,830000,0,84,827.31,1
645,1,50,1030000,0,120,1642.76,0
646,1,38,1080000,0,0,1563.42,0
647,1,54,980000,0,84,2208.24,0
648,1,42,520000,0,72,684.61,0
649,1,44,1040000,0,60,1579.99,0
650,1,38,1070000,0,36,919.29,1
651,1,49,890000,0,24,2005.44,0
652,1,38,1060000,0,108,1025.06,0
653,1,45,1310000,0,108,1724.7,0
654,1,44,1250000,0,120,1023.12,1
655,1,45,1130000,0,108,1019.64,1
656,1,48,1290000,0,36,2630.57,0
657,1,54,710000,0,24,1444.19,1
658,1,39,1380000,0,24,1308.46,1
659,1,46,850000,0,108,1173.09,0
660,1,37,940000,0,48,733.38,1
661,1,30,1120000,0,48,637.73,1
662,1,41,1250000,0,48,1725.13,0
663,1,46,1050000,0,108,995.56,1
664,1,42,860000,0,84,738.87,1
665,1,46,790000,0,108,1090.28,0
666,1,46,830000,0,48,1459.69,0
667,1,44,690000,0,12,885.98,1
668,1,40,1310000,0,108,930.53,1
669,1,36,1070000,0,108,955.87,0
670,1,36,1410000,0,108,837.8,1
671,1,40,1090000,0,108,1146.02,0
672,1,47,700000,0,48,898.82,1
673,1,54,1060000,0,24,2156.11,1
674,1,39,1240000,0,96,1303.73,0
675,1,42,1020000,0,12,1708.13,0
676,1,45,960000,0,36,1171.5,1
677,1,51,1080000,0,36,1791.94,1
678,1,38,720000,0,108,467.01,1
679,1,53,970000,0,12,2795.11,0
680,1,50,1030000,0,84,1902.65,0
681,1,41,740000,0,108,812.45,0
682,1,29,1270000,0,108,871.07,0
683,1,35,1400000,0,24,1092.27,1
684,1,52,1290000,0,96,1743.03,1
685,1,42,1200000,0,24,1913.89,0
686,1,44,1320000,0,120,1080.41,1
687,1,38,1080000,0,96,1088.43,0
